,season,seasonNumber,series,overallEpisodeNumber,episode,episodeName,airDate,nCompetitors
190,Boston,12.0,US,185.0,12.0,The Final Battle of Bean Town,2015-01-21,4.0
191,Boston,12.0,US,186.0,13.0,Getting Prickly in Mexico,2015-01-28,4.0
192,Boston,12.0,US,187.0,14.0,Holy Escamoly,2015-02-04,3.0
193,Boston,12.0,US,188.0,15.0,Mano a Mano,2015-02-11,2.0
194,California,13.0,US,189.0,1.0,Stop the Presses,2015-12-02,17.0
195,California,13.0,US,190.0,2.0,Pop Up Pandemonium,2015-12-03,16.0
196,California,13.0,US,191.0,3.0,Spines and Vines,2015-12-10,15.0
197,California,13.0,US,192.0,4.0,It's a Dry Heat,2015-12-17,14.0
198,California,13.0,US,193.0,5.0,Big Gay Wedding,2016-01-07,13.0
199,California,13.0,US,194.0,6.0,Banannaise,2016-01-14,12.0
200,California,13.0,US,195.0,7.0,Back in the Day,2016-01-21,10.0
201,California,13.0,US,196.0,8.0,Where's the Beef?,2016-01-28,9.0
202,California,13.0,US,197.0,9.0,"Restaurant Wars, Part 1",2016-02-04,8.0
203,California,13.0,US,198.0,10.0,"Restaurant Wars, Part 2",2016-02-11,8.0
204,California,13.0,US,199.0,11.0,Hammer Time,2016-02-18,7.0
205,California,13.0,US,200.0,12.0,Wok This Way,2016-02-25,6.0
206,California,13.0,US,201.0,13.0,Where It All Started,2016-03-03,4.0
207,California,13.0,US,202.0,14.0,Magic Hour,2016-03-20,4.0
208,California,13.0,US,203.0,15.0,Finale,2016-03-17,2.0
209,Charleston,14.0,US,204.0,1.0,"Something Old, Something New",2016-12-01,16.0
210,Charleston,14.0,US,205.0,2.0,Southern Hospitality,2016-12-08,15.0
211,Charleston,14.0,US,206.0,3.0,Choke Holds and Clammy Hands,2016-12-15,14.0
212,Charleston,14.0,US,207.0,4.0,The Feast of Seven Trash Fishes,2016-12-22,13.0
213,Charleston,14.0,US,208.0,5.0,Smoke 'em if you Got 'em,2019-12-29,12.0
214,Charleston,14.0,US,209.0,6.0,A Southern Legend,2017-01-05,11.0
215,Charleston,14.0,US,210.0,7.0,Booty,2017-01-12,10.0
216,Charleston,14.0,US,211.0,8.0,Restaurant Wars,2017-01-19,8.0
217,Charleston,14.0,US,212.0,9.0,For the Kids,2017-01-26,7.0
218,Charleston,14.0,US,213.0,10.0,Shrimp Boats and Hat Ladies,2017-02-02,6.0
219,Charleston,14.0,US,214.0,11.0,"Adios Charleston, Hello James Beard",2017-02-09,4.0
220,Charleston,14.0,US,215.0,12.0,Cooking Away in Margaritaville,2017-02-16,4.0
221,Charleston,14.0,US,216.0,13.0,Trial by Fire,2017-02-23,3.0
222,Charleston,14.0,US,217.0,14.0,Comida Final,2017-03-02,2.0
223,Colorado,15.0,US,218.0,1.0,It'll Take More than Pot Luck,2017-12-07,15.0
224,Colorado,15.0,US,219.0,2.0,Smile and Say Mise,2017-12-14,14.0
225,Colorado,15.0,US,220.0,3.0,Keep on Truckin',2017-12-21,13.0
226,Colorado,15.0,US,221.0,4.0,"Little Tools, Big Challenge",2017-12-28,11.0
227,Colorado,15.0,US,222.0,5.0,This is Not Glamping,2018-01-04,12.0
228,Colorado,15.0,US,223.0,6.0,Now That's a Lot of Schnitzel,2018-01-11,11.0
229,Colorado,15.0,US,224.0,7.0,Olympic Dreams,2018-01-18,9.0
230,Colorado,15.0,US,225.0,8.0,Restaurant Wars,2018-01-25,8.0
231,Colorado,15.0,US,226.0,9.0,Bronco Brouhaha,2018-02-01,7.0
232,Colorado,15.0,US,227.0,10.0,Red Rum and Then Some,2018-02-08,6.0
233,Colorado,15.0,US,228.0,11.0,Cooking High,2018-02-15,5.0
234,Colorado,15.0,US,229.0,12.0,Sunday Supper,2018-02-22,4.0
235,Colorado,15.0,US,230.0,13.0,A Little Place Called Aspen,2018-03-01,3.0
236,Colorado,15.0,US,231.0,14.0,Finale,2018-03-08,2.0
237,Kentucky,16.0,US,232.0,1.0,The Fastest Two Minutes in Cooking,2018-12-06,15.0
238,Kentucky,16.0,US,233.0,2.0,"Bourbon, Barrels and Burgoo",2018-12-13,14.0
239,Kentucky,16.0,US,234.0,3.0,Naughty and Nice,2018-12-20,13.0
240,Kentucky,16.0,US,235.0,4.0,Surprise...It's Restaurant Wars,2018-12-27,12.0
241,Kentucky,16.0,US,236.0,5.0,Restaurant Wars Part 2,2019-01-03,12.0
242,Kentucky,16.0,US,237.0,6.0,Roaring Munchies,2019-01-10,11.0
243,Kentucky,16.0,US,238.0,7.0,Carne!,2019-01-17,10.0
244,Kentucky,16.0,US,239.0,8.0,Whatever Floats Your Boat,2019-01-24,9.0
245,Kentucky,16.0,US,240.0,9.0,Music City USA,2019-01-31,8.0
246,Kentucky,16.0,US,241.0,10.0,Hoop Dreams,2019-02-07,7.0
247,Kentucky,16.0,US,242.0,11.0,The Greatest,2019-02-14,6.0
248,Kentucky,16.0,US,243.0,12.0,Kentucky Farewell,2019-02-21,6.0
249,Kentucky,16.0,US,244.0,13.0,Holy Macau!,2019-02-28,5.0
250,Kentucky,16.0,US,245.0,14.0,The Tao of Macau,2019-03-07,4.0
251,Kentucky,16.0,US,246.0,15.0,Finale,2019-03-14,3.0
